cell;passage;Dhat;mode;type;age
WJ1;38;1,9289;Dlc;Db;old
WJ1;38;1,9669;Dlc;Db;old
WJ1;38;1,9491;Dlc;Db;old
WJ1;38;1,6992;Dlc;Db;old
WJ1;9;1,6985;Dlc;Db;young
WJ1;9;1,6392;Dlc;Db;young
WJ1;9;1,9938;Dlc;Db;young
WJ1;9;1,9402;Dlc;Db;young
WJ1;9;1,953;Dlc;Db;young
WJ1;9;1,891;Dlc;Db;young
WJ1;9;1,8139;Dlc;Db;young
WJ1;9;1,8448;Dlc;Db;young
WJ1;15;1,6548;Dlc;Db;middle
WJ1;15;1,9586;Dlc;Db;middle
WJ1;15;1,808;Dlc;Db;middle
WJ1;15;1,9309;Dlc;Db;middle
WJ1;15;1,9989;Dlc;Db;middle
WJ1;9;1,8026;Dlc;Db;young
WJ1;9;1,6905;Dlc;Db;young
WJ1;9;1,6999;Dlc;Db;young
WJ1;9;1,9843;Dlc;Db;young
WJ1;9;1,9968;Dlc;Db;young
WJ1;9;1,6994;Dlc;Db;young
WJ1;9;1,6196;Dlc;Db;young
WJ1;9;1,9669;Dlc;Db;young
WJ1;9;1,6943;Dlc;Db;young
WJ1;9;1,5609;Dlc;Db;young
WJ1;9;1,9289;Dlc;Db;young
WJ1;9;1,6595;Dlc;Db;young
WJ1;9;1,9222;Dlc;Db;young
WJ1;9;1,6566;Dlc;Db;young
WJ1;9;1,6683;Dlc;Db;young
WJ1;9;1,9668;Dlc;Db;young
WJ1;9;1,9141;Dlc;Db;young
WJ1;9;1,6823;Dlc;Db;young
WJ1;9;1,6639;Dlc;Db;young
WJ1;9;1,6928;Dlc;Db;young
WJ1;9;1,6826;Dlc;Db;young
WJ1;9;1,6952;Dlc;Db;young
WJ1;9;1,9515;Dlc;Db;young
WJ1;9;1,6399;Dlc;Db;young
WJ1;9;1,9941;Dlc;Db;young
WJ1;15;1,6998;Dlc;Db;young
WJ1;15;1,8906;Dlc;Db;young
WJ1;15;1,661;Dlc;Db;young
WJ1;15;1,6931;Dlc;Db;young
WJ1;15;1,6305;Dlc;Db;young
WJ1;15;1,9386;Dlc;Db;young
WJ1;15;1,9096;Dlc;Db;young
WJ1;15;1,6592;Dlc;Db;young
WJ1;15;1,9289;Dlc;Db;young
WJ1;15;1,6392;Dlc;Db;young
WJ1;15;1,6564;Dlc;Db;young
WJ1;15;1,9026;Dlc;Db;young
WJ1;15;1,8848;Dlc;Db;young
WJ1;15;1,9243;Dlc;Db;young
WJ1;15;1,6949;Dlc;Db;young
WJ2;15;1,6153;Dlc;Db;young
WJ3;15;1,8659;Dlc;Db;young
WJ2;15;1,691;Dlc;Db;young
WJ3;15;1,6948;Dlc;Db;young
WJ2;15;1,8165;Dlc;Db;young
WJ3;15;1,8236;Dlc;Db;young
WJ2;15;1,6556;Dlc;Db;young
WJ3;15;1,6598;Dlc;Db;young
WJ2;15;1,6882;Dlc;Db;young
WJ3;15;1,8141;Dlc;Db;young
WJ2;15;1,6599;Dlc;Db;young
WJ3;15;1,6686;Dlc;Db;young
WJ2;15;1,9901;Dlc;Db;young
WJ3;15;1,6604;Dlc;Db;young
WJ2;15;1,6528;Dlc;Db;young
WJ2;15;1,6684;Dlc;Db;middle
WJ2;15;1,6448;Dlc;Db;middle
WJ2;15;1,6989;Dlc;Db;middle
WJ2;15;1,9816;Dlc;Db;middle
WJ2;15;1,6344;Dlc;Db;middle
WJ2;15;1,6993;Dlc;Db;middle
WJ2;15;1,8026;Dlc;Db;middle
WJ2;15;1,6526;Dlc;Db;middle
WJ2;15;1,6006;Dlc;Db;middle
WJ2;15;1,9963;Dlc;Db;middle
WJ2;15;1,6456;Dlc;Db;middle
WJ2;15;1,8405;Dlc;Db;middle
WJ2;15;1,9288;Dlc;Db;middle
WJ2;15;1,5928;Dlc;Db;middle
WJ1;9;1,8026;Dlc;Db;young
WJ1;9;1,6905;Dlc;Db;young
WJ1;9;1,6999;Dlc;Db;young
WJ1;9;1,9843;Dlc;Db;young
WJ1;9;1,9968;Dlc;Db;young
WJ1;9;1,6994;Dlc;Db;young
WJ1;9;1,6196;Dlc;Db;young
WJ1;9;1,9669;Dlc;Db;young
WJ1;9;1,6943;Dlc;Db;young
WJ1;9;1,5609;Dlc;Db;young
WJ1;9;1,9289;Dlc;Db;young
WJ1;9;1,6595;Dlc;Db;young
WJ1;9;1,9222;Dlc;Db;young
WJ1;9;1,6566;Dlc;Db;young
WJ1;9;1,6683;Dlc;Db;young
WJ1;9;1,9668;Dlc;Db;young
WJ1;9;1,9141;Dlc;Db;young
WJ1;9;1,6823;Dlc;Db;young
WJ1;9;1,6639;Dlc;Db;young
WJ1;9;1,6928;Dlc;Db;young
WJ1;9;1,6826;Dlc;Db;young
WJ1;9;1,6952;Dlc;Db;young
WJ1;9;1,9515;Dlc;Db;young
WJ1;9;1,6399;Dlc;Db;young
