"","track","length","distance","straight","square_displacement","mean_speed","sd_speed","max_speed","min_speed","sinuosity","emax","DC","SDDC","mean_angle","probe"
"1",1,773.79316487954,443.671396573926,0.573372080177258,38960.9305293167,0.00904016782381611,0.0078195276164165,0.0403023718295435,0,0.269869283372314,2.49739772830211,0.0187591095075466,0.0220455222815615,0.714073125882234-0.074664924062037i,"p09"
"2",3,1347.68825227425,231.929854721278,0.172094588143728,71596.9963861268,0.0157449413198697,0.00977526250679772,0.0379959341333519,0.00185048742138369,0.271261434146203,1.22323913746098,0.0262963800948293,0.0278361911921565,0.550205831145075+0.055053250602509i,"p09"
"3",5,1803.1125865469,283.985979792975,0.157497641529324,211446.274446354,0.0210656298445808,0.0134101319773538,0.0751955143158876,0.00184244607138723,0.182072161151299,2.47603467462411,0.0188141118937188,0.0226081014864899,0.712315873227549+0.027060440756385i,"p09"
"4",7,1241.07273107423,238.906533056967,0.19250002604616,126152.523599362,0.0144993601387257,0.00966255158581808,0.0538229862451973,0.00155114386792458,0.195598898983005,3.27945410858763,0.0173399173105641,0.0170950711954722,0.766325336216765-0.006409261022526i,"p09"
"5",9,865.168796432136,274.154121493149,0.316879344959886,40846.7917285876,0.0101077025110361,0.00808910630660969,0.0395611750969347,0,0.289066166166306,1.80796581832048,0.0214640273842912,0.026445548384241,0.643870308721163+0.0177275153954i,"p09"
"6",1,728.083343867769,115.718018106474,0.15893512615156,21271.080075904,0.00850614339468157,0.00779640464240501,0.0387168528235051,0,0.369475296261922,0.991577950931921,0.0284601494112287,0.0295981214293615,0.497885583874802+0.007923795086516i,"p09"
"7",3,527.38027558374,78.1745509746967,0.148231844446908,19085.6249199838,0.00616134441946072,0.00491522917886887,0.0246920780727596,0,0.328396644677268,2.52245545527671,0.0185581819451751,0.0222135324333319,0.716107126776584+0.021235833539513i,"p09"
"8",5,629.540188879866,158.418483344819,0.251641572917992,19577.6732661764,0.00735487106583172,0.00824265909629493,0.0554708463938053,0,0.344075005212278,1.42132464559236,0.0255806817581677,0.0242487411423923,0.58700292345335-0.119879427705371i,"p09"
"9",7,536.387101577464,212.65542597545,0.396458873358532,17212.3722296074,0.0062665704956769,0.00781461949006129,0.047103445679006,0,0.351317304839212,1.59241678066992,0.0231050265064548,0.0268720096877171,0.614259556003343+0.019690840570995i,"p09"
"10",1,888.687801104886,469.013049570251,0.527759072406685,42852.9617013248,0.0103824732882164,0.00895610216441472,0.0499340408380893,0,0.286051002804591,1.74081338355677,0.0233075129710727,0.0232072879434217,0.635144805553199-0.020738513482798i,"p09"
