cell;passage;Area;Perim;Circ;AR;Round;Solidity
WJ1;38;17492.489;842.021;0.310;4.719;0.212;0.710
WJ1;38;9455.657;710.540;0.235;4.680;0.214;0.546
WJ1;38;11539.745;548.371;0.482;1.755;0.570;0.807
WJ1;38;11683.878;464.121;0.682;1.265;0.791;0.909
WJ1;38;9028.884;450.021;0.560;3.213;0.311;0.922
WJ1;38;14078.307;851.965;0.244;3.759;0.266;0.577
WJ1;38;7006.691;968.302;0.094;10.204;0.098;0.493
WJ1;38;3885.104;298.956;0.546;3.132;0.319;0.866
WJ1;38;5033.841;455.321;0.305;4.285;0.233;0.678
WJ1;38;10484.499;835.643;0.189;2.116;0.473;0.504
WJ1;38;8087.474;518.898;0.377;1.597;0.626;0.666
WJ1;38;13634.654;799.829;0.268;2.147;0.466;0.621
WJ1;38;8427.247;581.879;0.313;5.068;0.197;0.766
WJ1;38;6483.830;459.021;0.387;3.268;0.306;0.771
WJ1;38;8384.829;644.080;0.254;3.582;0.279;0.606
WJ1;38;10047.339;884.445;0.161;2.880;0.347;0.447
WJ1;38;8016.056;600.041;0.280;4.327;0.231;0.699
WJ1;38;6469.113;507.333;0.316;4.510;0.222;0.715
WJ1;38;4256.041;395.632;0.342;6.160;0.162;0.916
WJ1;38;4479.383;463.015;0.263;1.542;0.648;0.496
WJ1;38;14571.736;779.232;0.302;1.501;0.666;0.588
WJ1;38;14391.245;561.870;0.573;1.332;0.751;0.805
WJ1;38;8985.601;651.272;0.266;3.368;0.297;0.664
WJ1;38;9390.299;631.483;0.296;4.420;0.226;0.637
WJ1;38;6613.679;506.327;0.324;4.652;0.215;0.677
WJ1;38;6134.967;580.879;0.228;1.128;0.886;0.421
WJ1;38;12208.904;887.378;0.195;2.930;0.341;0.506
WJ1;38;6730.544;431.402;0.454;1.834;0.545;0.702
WJ1;38;11509.447;740.259;0.264;4.135;0.242;0.564
WJ1;38;18147.797;881.238;0.294;2.381;0.420;0.591
WJ1;38;9024.123;467.866;0.518;3.010;0.332;0.907
WJ1;38;12487.648;592.723;0.447;2.320;0.431;0.800
WJ1;38;13523.849;734.715;0.315;3.697;0.270;0.710
WJ1;38;10827.736;708.406;0.271;7.845;0.127;0.800
WJ1;38;12387.231;705.618;0.313;2.528;0.396;0.638
WJ1;38;13042.972;767.486;0.278;2.151;0.465;0.551
WJ1;38;11350.164;632.367;0.357;1.169;0.855;0.601
WJ1;38;8556.231;464.130;0.499;2.490;0.402;0.827
WJ1;38;10073.309;463.448;0.589;1.409;0.710;0.846
WJ1;38;10896.556;733.636;0.254;3.543;0.282;0.801
WJ1;38;29385.858;952.589;0.407;3.507;0.285;0.747
WJ1;38;26996.190;823.498;0.500;3.165;0.316;0.795
